"","Drug","Targets","Disease","Enrichment.biomarker","Marker.type","Biomarker.relationship","Model","PMID","Article.title","Key.sentence","Pubmed.link","Note","Biomarker.logical.conditions","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"144","NA","NA","HEPATOCELLULAR CARCINOMA","miR-503,PRMT1","RNA,expression",NA,"cellines,tissues",26163260,"miR-503 suppresses metastasis of hepatocellular carcinoma cell by targeting PRMT1.","miR-503-mediated PRMT1 could also emerge as a potential important biomarker for HCC. miR-503 suppresses cell metastasis in HCC through targeting the protein arginine methyl transferase 1 (PRMT1) mRNA. exogenous expression of miR-503 dramatically suppressed epithelial-mesenchymal transition (EMT) via PRMT1 in HCC cells.","https://www.ncbi.nlm.nih.gov/pubmed/26163260","High_favourable,High_Unfavourable",NA,"NA","56956252","NA, ENSG00000126457","EFO_0000182","failed","failed biomarker,failed term"
"145","NA","NA","HEPATOCELLULAR CARCINOMA","ALDH1A1","expression",NA,"Patient tissues",26160842,"ALDH1A1-overexpressing cells are differentiated cells but not cancer stem or progenitor cells in human hepatocellular carcinoma.","The ALDH1A1-high group was significantly associated with low serum levels of α-fetoprotein, small tumor diameter, very little lymphovascular invasion, more differentiated pathology and good stage. The ALDH1A1-high group showed more favorable prognosis for recurrence-free survival.","https://www.ncbi.nlm.nih.gov/pubmed/26160842","High_favourable,High_Favourable,High_Favourable,High_Favourable,High_Favourable,High_Favourable,High_Favourable,High_Favourable,High_Favourable, Unfavourable, Favourable",NA,"NA","56956252","ENSG00000165092","EFO_0000182","ALDH1A1 EXPRESSION NA","pass"
"146","CISPLATIN","NA","HEPATOCELLULAR CARCINOMA","miR-363,MCL1","expression,expression",NA,"celline",26143754,"Downregulation of miR-363 increases drug resistance in cisplatin-treated HepG2 by dysregulating Mcl-1.","miR-363 levels were significantly decreased in HCC patients treated with cisplatin-based chemotherapy. MiR-363 levels were also lower in cisplatin-resistant HepG2 (HepG2-R) cells than in HepG2 cells. Exogenous miR-363 significantly overcame cisplatin resistance in HepG2-R cells, whereas miR-363 knockdown increased the cell viability during cisplatin treatment. Downregulation of miR-363 resulted in upregulation of Mcl-1","https://www.ncbi.nlm.nih.gov/pubmed/26143754","Low_unfavourable, High_unfavourable",NA,"DB00515","135804801","ENSG00000284499, ENSG00000143384","EFO_0000182","failed","failed term"
"147","NA","NA","COMBINED HEPATOCELLULAR CHOLANGIOCARCINOMA","CD44","expression",NA,"Patient tissues",26131439,"CD44 expression in patients with combined hepatocellular cholangiocarcinoma.","The expression of cancer stem cell marker CD44 was associated with poor prognosis in patients with ChC.","https://www.ncbi.nlm.nih.gov/pubmed/26131439","High_Unfavourable",NA,"NA","56956252","ENSG00000026508","EFO_0000707","CD44 EXPRESSION NA","pass"
"148","NA","NA","HEPATOCELLULAR CARCINOMA","FAM83D","expression",NA,"Patient tissues,Celllines",26125229,"Upregulation of FAM83D affects the proliferation and invasion of hepatocellular carcinoma.","Knocking down FAM83D significantly promoted the growth of Huh7 and HepG2 cells, as demonstrated in an RNA interference assay. Moreover, the DNA methylation status of the FAM83D promoter was significantly reduced in the HCC specimens with overexpression of FAM83D gene. Our data suggest that the upregulation of FAM83D, a potential oncotarget gene, may be triggered by epigenetic events and can contribute to hepatocarcinogenesis.","https://www.ncbi.nlm.nih.gov/pubmed/26125229","High_Unfavourable",NA,"NA","56956252","ENSG00000101447","EFO_0000182","FAM83D EXPRESSION NA","pass"
"149","OXALIPLATIN","NA","HEPATOCELLULAR CARCINOMA","HOX8","expression",NA,"Patient tissues,Celllines",26123838,"Upregulated HOXC8 Expression Is Associated with Poor Prognosis and Oxaliplatin Resistance in Hepatocellular Carcinoma.","HOXC8 promoted HCC proliferation and predicted poor prognosis. Furthermore, upregulated HOXC8 expression was associated with oxaliplatin resistance in hepatocellular carcinoma.","https://www.ncbi.nlm.nih.gov/pubmed/26123838","High_Unfavourable",NA,"DB00526","71301229","ENSG00000120149","EFO_0000182","HOX8 EXPRESSION NA","pass"
"150","NA","NA","HEPATOCELLULAR CARCINOMA","AJAP1","expression/DNA methylation",NA,"cellines,tissues",26122373,"Reduced Expression of Adherens Junctions Associated Protein 1 Predicts Recurrence of Hepatocellular Carcinoma After Curative Hepatectomy.","Low levels of AJAP1 mRNA in patients with HCC associated significantly with elevated levels of tumor markers, larger tumor size, serosal infiltration, vascular invasion, hypermethylation of the AJAP1 promoter, and copy number loss at AJAP1 locus. Patients with low levels of AJAP1 expression were more likely to experience shorter disease-free survival","https://www.ncbi.nlm.nih.gov/pubmed/26122373","Low_Unfavourable,High_Unfavourable",NA,"NA","56956252","ENSG00000196581","EFO_0000182","AJAP1 EXPRESSION/DNA METHYLATION NA","pass"
"151","CISPLATIN","NA","HEPATOCELLULAR CARCINOMA","MCL1","expression",NA,"celline",26219890,"Imperatorin acts as a cisplatin sensitizer via downregulating Mcl-1 expression in HCC chemotherapy.","combination with imperatorin could enhance the antitumor activity of cisplatin via targeting Mcl-1 and reverse the resistance to cisplatin in HCC","https://www.ncbi.nlm.nih.gov/pubmed/26219890","High_Unfavourable",NA,"DB00515","135804801","ENSG00000143384","EFO_0000182","MCL1 EXPRESSION NA","pass"
"152","NA","NA","HEPATOCELLULAR CARCINOMA","KIF1B","expression",NA,"Patient tissues",26217094,"Downregulation of KIF1B mRNA in hepatocellular carcinoma tissues correlates with poor prognosis.","Downregulation of KIF1B in HCC tissues is associated with poor prognosis; additional clinical studies are needed to confirm whether KIF1B can serve as a prognostic marker.","https://www.ncbi.nlm.nih.gov/pubmed/26217094","Low_Unfavourable",NA,"NA","56956252","ENSG00000054523","EFO_0000182","KIF1B EXPRESSION NA","pass"
"153","NA","NA","INTRAHEPATIC CHOLANGIOCARCINOMA","MUC5AC","expression",NA,"Patients",26210654,"Prognostic evaluation of mucin-5AC expression in intrahepatic cholangiocarcinoma, mass-forming type, following hepatectomy.","strong correlation between MUC5AC expression and lymph node metastasis. MUC5AC expression was significantly related to long-term prognosis and aggressive tumor development, and may be a useful prognostic marker","https://www.ncbi.nlm.nih.gov/pubmed/26210654","High_Unfavourable",NA,"NA","56956252","ENSG00000215182","EFO_1001961","MUC5AC EXPRESSION NA","pass"
"154","NA","NA","HEPATOCELLULAR CARCINOMA","Caveolin-1","expression",NA,"cellines,tissues",26206578,"Caveolin-1 promotes tumor growth and metastasis via autophagy inhibition in hepatocellular carcinoma.","Caveolin-1 may function as a novel prognostic indicator for hepatocellular carcinoma patients after curative resection, and combination of targeted therapy aimed at Caveolin-1 and autophagy modulation may represent an effective way to treat hepatocellular carcinoma.","https://www.ncbi.nlm.nih.gov/pubmed/26206578","High_Unfavourable",NA,"NA","56956252","ENSG00000105974","EFO_0000182","CAVEOLIN-1 EXPRESSION NA","pass"
"155","NA","NA","HEPATOCELLULAR CARCINOMA","CXCR4","expression",NA,"celline",26203228,"A meta-analysis for C-X-C chemokine receptor type 4 as a prognostic marker and potential drug target in hepatocellular carcinoma.","CXCR4 is overexpressed in HCC tissues but not in normal hepatic tissue.","https://www.ncbi.nlm.nih.gov/pubmed/26203228","High_Unfavourable",NA,"NA","56956252","ENSG00000121966","EFO_0000182","CXCR4 EXPRESSION NA","pass"
"156","NA","NA","HEPATOCELLULAR CARCINOMA","miRNA-325/HMGB1","RNA/expression",NA,"celline",26194496,"The microRNA-325 inhibits hepatocellular carcinoma progression by targeting high mobility group box 1.","miR-325 regulates cell invasion and proliferation via targeting HMGB1 and may be a potential prognostic marker for HCC. HMGB1 might be a direct target of miR-325 and is negatively regulated by miR-325.","https://www.ncbi.nlm.nih.gov/pubmed/26194496","High_favourable/Low_unfavourable",NA,"NA","56956252","NA","EFO_0000182","MIRNA-325/HMGB1 RNA/EXPRESSION NA","failed biomarker"
"157","NA","NA","HEPATOCELLULAR CARCINOMA","miR-21","expression",NA,"Patient tissues",26261620,"Increased expression of miR-21 predicts poor prognosis in patients with hepatocellular carcinoma.","miR-21 expression was significantly upregulated in HCC tissues when compared with adjacent non-tumor tissues. increased expression of miR-21 was significantly correlated with tumor progression and could be a novel potential biomarker for HCC prognosis.","https://www.ncbi.nlm.nih.gov/pubmed/26261620","High_Unfavourable",NA,"NA","56956252","ENSG00000284190","EFO_0000182","MIR-21 EXPRESSION NA","pass"
"158","NA","NA","HEPATOCELLULAR CARCINOMA","MDR1","expression",NA,"tissues",26261589,"Relationship between the expression of MDR1 in hepatocellular cancer and its biological behaviors.","In MDR1 expressions of HCC patients, the survival curve of the negative is higher than that of the positive. MDR1 expression may play an important role in primary HCC drug resistance","https://www.ncbi.nlm.nih.gov/pubmed/26261589",NA,NA,"NA","56956252","ENSG00000085563","EFO_0000182","MDR1 EXPRESSION NA","pass"
"159","DOXORUBICIN","NA","HEPATOCELLULAR CARCINOMA","SYF2","expression",NA,"cellines,tissues",26260052,"Overexpression of SYF2 correlates with enhanced cell growth and poor prognosis in human hepatocellular carcinoma.","SYF2 may be a novel prognostic marker and serve as a potential therapeutic target in HCC. we found that SYF2 might interact with Cyclin D1 and could confer doxorubicin resistance in HCC cells. SYF2 may be a novel prognostic marker and serve as a potential therapeutic target in HCC.","https://www.ncbi.nlm.nih.gov/pubmed/26260052","High_Unfavourable",NA,"DB00997","443939","ENSG00000117614","EFO_0000182","SYF2 EXPRESSION NA","pass"
"160","NA","NA","HEPATOCELLULAR CARCINOMA","GPC3","expression",NA,"Patients,Mouse",26256079,"Glypican-3 is a biomarker and a therapeutic target of hepatocellular carcinoma.","Oncofetal GPC-3 is a highly specific biomarker for the diagnosis of HCC and a promising target molecule for HCC gene therapy.","https://www.ncbi.nlm.nih.gov/pubmed/26256079","High_Unfavourable",NA,"NA","56956252","ENSG00000147257","EFO_0000182","GPC3 EXPRESSION NA","pass"
"161","SORAFENIB","NA","HEPATOCELLULAR CARCINOMA","CD133, IGF2BP3","expression,expression",NA,"celllines,patients",26327240,"An isocorydine derivative (d-ICD) inhibits drug resistance by downregulating IGF2BP3 expression in hepatocellular carcinoma.","results suggested that the d-ICD may inhibit HCC cells growth by IGF2BP3 decrease and that IGF2BP3 may serve as a therapeutic target for HCC. CSC marker CD133 expression was increased after IGF2BP3 overexpression. high IGF2BP3 expression predicted poor survival in a cohort of 236 patients with HCC","https://www.ncbi.nlm.nih.gov/pubmed/26327240","High_Unfavourable,High_Unfavourable",NA,"DB00398","406563","ENSG00000007062, ENSG00000136231","EFO_0000182","failed","failed term"
"162","NA","NA","CHOLANGIOCARCINOMA","S100P","expression",NA,"Patient tissues,Celllines",26312563,"Significance of S100P as a biomarker in diagnosis, prognosis and therapy of opisthorchiasis-associated cholangiocarcinoma","Extremely high expression of S100P mRNA was detected in the CCA tumor tissues.The increased S100P protein expression was immunohistochemically confirmed and localized in the CCA cytoplasm and/or nuclei.","https://www.ncbi.nlm.nih.gov/pubmed/26312563","High_Unfavourable",NA,"NA","56956252","ENSG00000163993","EFO_0005221","S100P EXPRESSION NA","pass"
"163","NA","NA","HEPATOCELLULAR CARCINOMA","AGX2TL1","expression",NA,"celllines,patients",26294768,"AGXT2L1 is down-regulated in heptocellular carcinoma and associated with abnormal lipogenesis","AGXT2L1 is down-regulated in HCC and its low expression indicates a poor prognosis. Our findings also demonstrated that AGXT2L1 is a crucial gene in the abnormal lipogenesis of HCC tissue.","https://www.ncbi.nlm.nih.gov/pubmed/26294768","Low_Unfavourable",NA,"NA","56956252","NA","EFO_0000182","AGX2TL1 EXPRESSION NA","failed biomarker"
"164","NA","NA","HEPATOCELLULAR CARCINOMA","HAX1","expression",NA,"celllines,patients",26339377,"HAX-1 is overexpressed in hepatocellular carcinoma and promotes cell proliferation.","HAX-1 can be a novel molecular marker for HCC. HAX-1 expression level significantly correlated with clinic outcome of HCC. Cell based assay revealed that knockdown of HAX-1 inhibits cell proliferation.","https://www.ncbi.nlm.nih.gov/pubmed/26339377","High_Unfavourable",NA,"NA","56956252","ENSG00000143575","EFO_0000182","HAX1 EXPRESSION NA","pass"
"165","CISPLATIN","NA","HEPATOCELLULAR CARCINOMA","IP10","expression",NA,"Patients",26336986,"Interferon-gamma inducible protein 10 (IP10) induced cisplatin resistance of HCC after liver transplantation through ER stress signaling pathway.","The overexpression of IP10, which induced by liver graft injury, may lead to cisplatin resistance. rat liver transplantation model, significant up-regulation of IP10 associated with multidrug resistant genes was found in small-for-size liver graft. Clinically, high expression of circulating IP10 was significant correlated with tumor recurrence in HCC patients underwent living donor liver transplantation.","https://www.ncbi.nlm.nih.gov/pubmed/26336986","High_Unfavourable",NA,"DB00515","135804801","ENSG00000169245","EFO_0000182","IP10 EXPRESSION NA","pass"
"166","SOREFENIB","Multikinase","HEPATOCELLULAR CARCINOMA","FGF3,FGF4,VEGFA,phospho-Mapk14,phospho-Atf2","expression,expression,expression expression",NA,"Patients",26420960,"Predictive biomarkers of sorafenib efficacy in advanced hepatocellular carcinoma: Are we getting there?","studies identified tumor amplification of FGF3/FGF4 or VEGFA and tumor expression of phospho-Mapk14 and phospho-Atf2 as possible predictive markers that await validation.","https://www.ncbi.nlm.nih.gov/pubmed/26420960",NA,NA,"NA","NA","ENSG00000186895, ENSG00000075388, ENSG00000112715, NA, NA","EFO_0000182","failed","failed drug,failed term"
"167","NA","NA","HEPATOCELLULAR CARCINOMA","CDT1","expression",NA,"Patient tissues",26408331,"Overexpression of CDT1 Is a Predictor of Poor Survival in Patients with Hepatocellular Carcinoma.","Increased CDT1 expression was associated with higher tumor grade  and tumor-node-metastasis  stage. High CDT1 expression correlated significantly with reduced overall survival. CDT1 overexpression is a significant prognostic biomarker in hepatocellular carcinoma.","https://www.ncbi.nlm.nih.gov/pubmed/26408331","High_Unfavourable",NA,"NA","56956252","ENSG00000167513","EFO_0000182","CDT1 EXPRESSION NA","pass"
"168","CISPLATIN","NA","HEPATOCELLULAR CARCINOMA","OPN","expression",NA,"tissues",26397192,"Overexpression of osteopontin promotes resistance to cisplatin treatment in HCC.","OPN was significantly increased in cisplatin-resistant specimens. blockage of OPN pathway promoted the chemosensitivity of HCC cells to cisplatin","https://www.ncbi.nlm.nih.gov/pubmed/26397192","High_Unfavourable",NA,"DB00515","135804801","ENSG00000118785","EFO_0000182","OPN EXPRESSION NA","pass"
"169","NA","NA","HEPATOCELLULAR CARCINOMA","USP22,Survivin","expression",NA,"Patients",26497847,"Expression of USP22 and Survivin is an indicator of malignant behavior in hepatocellular carcinoma.","USP22 can be useful as a new prognostic marker and therapeutic target in HCC patients. High expression of USP22 and survivin was frequently observed in HCC cases, in comparison with normal adjacent liver tissues.","https://www.ncbi.nlm.nih.gov/pubmed/26497847","High_Unfavourable,High_Unfavourable",NA,"NA","56956252","ENSG00000124422, ENSG00000089685","EFO_0000182","failed","failed term"
"170","NA","NA","CHOLANGIOCARCINOMA","SOCS3,A20","expression",NA,"Patient tissues",26485275,"The Prognostic Role of SOCS3 and A20 in Human Cholangiocarcinoma.","study demonstrated that SOCS3 and A20 represent novel prognostic factors for human CCA. patients with low SOCS3 expression or high A20 expression showed a dramatically lower overall survival rate.","https://www.ncbi.nlm.nih.gov/pubmed/26485275","High_Unfavourable,High_Favourable",NA,"NA","56956252","ENSG00000184557, ENSG00000118503","EFO_0005221","failed","failed term"
"171","NA","NA","HEPATOCELLULAR CARCINOMA","Cbl,EGFR","expression,expression",NA,"tissues",26474280,"Peritumoral Cbl is a strong independent prognostic marker after curative resection of hepatocellular carcinoma.","low expression of peritumoral Cbl and EGFR were positively associated with tumor size, microvascular invasion and patients survival after hepatectomy, highlighting the key role of peritumoral liver milieu in HCC progression.","https://www.ncbi.nlm.nih.gov/pubmed/26474280",NA,NA,"NA","56956252","ENSG00000110395, ENSG00000146648","EFO_0000182","failed","failed term"
"172","NA","NA","HEPATOCELLULAR CARCINOMA","DCLK1","expression",NA,"Patient tissues",26468984,"Plasma DCLK1 is a marker of hepatocellular carcinoma (HCC): Targeting DCLK1 prevents HCC tumor xenograft growth via a microRNA-dependent mechanism.","results support evaluating DCLK1 as a biomarker for detection and as a therapeutic target for eradicating HCC. a marked increase in plasma DCLK1 from patients with HCC.DCLK1 is overexpressed in HCC tumors relative to adjacent normal tissues","https://www.ncbi.nlm.nih.gov/pubmed/26468984","High_Unfavourable",NA,"NA","56956252","ENSG00000133083","EFO_0000182","DCLK1 EXPRESSION NA","pass"
"173","SOREFENIB","Multikinase","HEPATOCELLULAR CARCINOMA","pERK,pAkt","expression,expression",NA,"Patients",26544731,"pERK/pAkt phenotyping in circulating tumor cells as a biomarker for sorafenib efficacy in patients with advanced hepatocellular carcinoma.","pERK+/pAkt- CTCs are most sensitive to sorafenib and an independent predictive factor of PFS in HCC patients treated with sorafenib.","https://www.ncbi.nlm.nih.gov/pubmed/26544731","Positive favourable, Negative favourable",NA,"NA","NA","ENSG00000172071, NA","EFO_0000182","failed","failed drug,failed term"
"174","NA","NA","HEPATOCELLULAR CARCINOMA","TPD52","expression",NA,"Patient tissues,Celllines",26575170,"Decreased TPD52 expression is associated with poor prognosis in primary hepatocellular carcinoma.","TPD52 is a potential tumor suppressor in HCC. It may be a novel prognostic biomarker and molecular therapy target for HCC. high TPD52 expression was associated with improved overall survival (OS) and disease-free survival (DFS) in HCC patients.","https://www.ncbi.nlm.nih.gov/pubmed/26575170","Low_favourable",NA,"NA","56956252","ENSG00000076554","EFO_0000182","TPD52 EXPRESSION NA","pass"
"175","NA","NA","HEPATOCELLULAR CARCINOMA","NRP1","RNA/expression",NA,"Patient tissues,Celllines",26563279,"High Expression of Neuropilin-1 Associates with Unfavorable Clinicopathological Features in Hepatocellular Carcinoma.","NRP-1 expression may play an important role in the progression of HCC, and that high NRP-1 expression suggests unfavorable clinicopathological characteristics and survival in HCC patients.","https://www.ncbi.nlm.nih.gov/pubmed/26563279","High_Unfavourable",NA,"NA","56956252","ENSG00000099250","EFO_0000182","NRP1 RNA/EXPRESSION NA","pass"
"176","NA","NA","HEPATOCELLULAR CARCINOMA","miR423-5p","RNA/expression",NA,"cellines,tissues",26663009,"Oncogenic role of microRNA-423-5p in hepatocellular carcinoma.","miR423-5p contributed to the tumorigenesis and progression of HCC. It could be a new predictor in HCC patients. miR423-5p was significantly upregulated in HCC compared with nonmalignant tissues, and this upregulation was negatively associated with recurrence-free survival.","https://www.ncbi.nlm.nih.gov/pubmed/26663009","High_Unfavourable",NA,"NA","56956252","NA","EFO_0000182","MIR423-5P RNA/EXPRESSION NA","failed biomarker"
"177","NA","NA","HEPATOCELLULAR CARCINOMA","MEP1A","expression",NA,"Patient tissues,Celllines",26660154,"MEP1A contributes to tumor progression and predicts poor clinical outcome in human hepatocellular carcinoma.","MEP1A is a novel prognostic predictor in HCC and plays an important role in the development and progression of HCC. MEP1A played an important role in regulating cytoskeletal events and induced epithelial-mesenchymal transition in HCC cells. MEP1A messenger RNA levels were significantly elevated in HCC tumor tissues compared with matched adjacent nonneoplastic tissues and nonmalignant liver disease tissues.","https://www.ncbi.nlm.nih.gov/pubmed/26660154","High_Unfavourable",NA,"NA","56956252","ENSG00000112818","EFO_0000182","MEP1A EXPRESSION NA","pass"
"178","NA","NA","HEPATOCELLULAR CARCINOMA","CD90,OCT_4","expression,expression",NA,"Patient tissues,Celllines",26674131,"The prognostic value of combination of CD90 and OCT4 for hepatocellular carcinoma after curative resection.","CD90 and OCT4 are both independent and reliable biomarker for predicting prognosis of HCC patients after hepatic resection. High expression of CD90 or OCT4 predicts a poor prognosis.","https://www.ncbi.nlm.nih.gov/pubmed/26674131","High_Unfavourable,High_Unfavourable",NA,"NA","56956252","ENSG00000154096, ENSG00000204531","EFO_0000182","failed","failed term"
"179","NA","NA","HEPATOCELLULAR CARCINOMA","BANCR","RNA/expression",NA,"Patient tissues,Celllines",26758762,"Increased expression of LncRNA BANCR and its prognostic significance in human hepatocellular carcinoma.","BANCR may contribute to HCC initiation and progression and would be used as not only a novel prognostic marker but also a potential therapeutic target for this disease. BANCR expression was remarkably increased in HCC tissues compared with adjacent noncancerous tissues","https://www.ncbi.nlm.nih.gov/pubmed/26758762","High_Unfavourable",NA,"NA","56956252","ENSG00000278910","EFO_0000182","BANCR RNA/EXPRESSION NA","pass"
"180","NA","NA","HEPATOCELLULAR CARCINOMA","GPC3","expression",NA,"Patients",26755876,"Glypican-3 is a prognostic factor and an immunotherapeutic target in hepatocellular carcinoma.","GPC3 would serve as a useful molecular marker for HCC diagnosis and also as a target for therapeutic intervention in HCC","https://www.ncbi.nlm.nih.gov/pubmed/26755876","High_Unfavourable",NA,"NA","56956252","ENSG00000147257","EFO_0000182","GPC3 EXPRESSION NA","pass"
"181","NA","NA","HEPATOCELLULAR CARCINOMA","CPE","RNA/expression",NA,"Patients",26803519,"Carboxypeptidase E is a prediction marker for tumor recurrence in early-stage hepatocellular carcinoma.","CPE mRNA expression level in HCC can be a useful biomarker for predicting tumor recurrence in HCC patients. The CPE expression level was also significantly correlated with the tumor recurrence for both stage I","https://www.ncbi.nlm.nih.gov/pubmed/26803519",NA,NA,"NA","56956252","ENSG00000109472","EFO_0000182","CPE RNA/EXPRESSION NA","pass"
"182","SOREFENIB","Multikinase","HEPATOCELLULAR CARCINOMA","OCT_1","expression",NA,"Patients",26872727,"Organic Cation Transporter 1 (OCT1) mRNA expression in hepatocellular carcinoma as a biomarker for sorafenib treatment.","promising role for intratumoral OCT1 mRNA expression as a prognostic biomarker in therapeutic algorithms in HCC.Intratumoral OCT1 mRNA expression is a significant positive prognostic factor for patients treated with sorafenib. Macrovascular invasion (MVI) was slightly more frequent in patients with low OCT1 mRNA expression","https://www.ncbi.nlm.nih.gov/pubmed/26872727","High_favourable",NA,"NA","NA","ENSG00000143190","EFO_0000182","OCT_1 EXPRESSION NA","failed drug"
"183","NA","NA","HEPATOCELLULAR CARCINOMA","SFRP1","expression",NA,"Patients",26851021,"Loss of SFRP1 Expression Is Associated with Poor Prognosis in Hepatocellular Carcinoma.","SFRP1 may play a role in the development and progression of HCC.Patients with high SFRP1 expression in tumor tissue had a significantly better overall survival rate","https://www.ncbi.nlm.nih.gov/pubmed/26851021","High_favourable",NA,"NA","56956252","ENSG00000104332","EFO_0000182","SFRP1 EXPRESSION NA","pass"
"184","NA","NA","HEPATOCELLULAR CARCINOMA","β-glucosidase 1","expression",NA,"celllines,patients",26849828,"Identification of β-glucosidase 1 as a biomarker and its high expression in hepatocellular carcinoma is associated with resistance to chemotherapy drugs.","Combination of chemo drug with β-glucosidase 1 inhibitor sensitized HCC cells to chemotherapy. β-glucosidase 1 as a HCC biomarker due to its prognosis significance.","https://www.ncbi.nlm.nih.gov/pubmed/26849828","High_Unfavourable",NA,"NA","56956252","NA","EFO_0000182","Β-GLUCOSIDASE 1 EXPRESSION NA","failed biomarker"
"185","NA","NA","HEPATOCELLULAR CARCINOMA","DLC1","protein expression",NA,"tissues",26846339,"DLC-1 is an independent prognostic marker and potential therapeutic target in hepatocellular cancer.","DLC1 could be served as a tumor suppressor gene in the progression especially in the invasion and metastasis of HCC.Evaluation of the expression of DLC-1 might be a good prognostic marker for patients with HCC. DLC-1 expression was found to be negatively correlated with tumor differentiation, TNM stage and lymph node metastasis.","https://www.ncbi.nlm.nih.gov/pubmed/26846339","Low_Unfavourable",NA,"NA","56956252","ENSG00000008226","EFO_0000182","DLC1 PROTEIN EXPRESSION NA","pass"
"186","NA","NA","HEPATOCELLULAR CARCINOMA","CK19,GPC3","Protein expression,Protein expression",NA,"Patients",28977595,"CK19 and Glypican 3 Expression Profiling in the Prognostic Indication for Patients with HCC after Surgical Resection.","CK19 and GPC3 expression profiling is an independent prognostic indicator in patients with HCC. CK19+/GPC3+ HCC has the highest risk of multifocality, microvascular invasion, regional lymph node involvement, and distant metastasis","https://www.ncbi.nlm.nih.gov/pubmed/26977595","Positive unfavourable, Positive unfavourable",NA,"NA","56956252","ENSG00000171345, ENSG00000147257","EFO_0000182","failed","failed term"
"187","NA","NA","HEPATOCELLULAR CARCINOMA","SALL4,AFP","expression,expression",NA,"tissues",26973422,"Importance of SALL4 in the development and prognosis of hepatocellular carcinoma.","Patients with higher expression levels of SALL4 and AFP have worse prognosis.","https://www.ncbi.nlm.nih.gov/pubmed/26973422","High_Unfavourable,High_Unfavourable",NA,"NA","56956252","ENSG00000101115, ENSG00000081051","EFO_0000182","failed","failed term"
"188","SOREFENIB","Multikinase","HEPATOCELLULAR CARCINOMA","MT1","protein expression",NA,"Patients",27184800,"Metallothionein-1 as a biomarker of altered redox metabolism in hepatocellular carcinoma cells exposed to sorafenib.","MT1 constitute a biomarker adapted for exploring the impact of sorafenib on the redox metabolism of cancer cells.the protein levels of MT1 increase in the serum of some HCC patients receiving sorafenib, and found an association with reduced overall survival.","https://www.ncbi.nlm.nih.gov/pubmed/27184800","Positive unfavourable",NA,"NA","NA","ENSG00000157227","EFO_0000182","MT1 PROTEIN EXPRESSION NA","failed drug"
"189","CISPLATIN","NA","HEPATOCELLULAR CARCINOMA","BCAT1","expression",NA,"celline",27246112,"BCAT1, a key prognostic predictor of hepatocellular carcinoma, promotes cell proliferation and induces chemoresistance to cisplatin.","BCAT1 plays a pathogenic role in HCC by causing cell proliferation and chemoresistance.BCAT1 expression has prognostic significance for the survival of patients with HCC.","https://www.ncbi.nlm.nih.gov/pubmed/27246112","High_Unfavourable",NA,"DB00515","135804801","ENSG00000060982","EFO_0000182","BCAT1 EXPRESSION NA","pass"
"190","NA","NA","HEPATOCELLULAR CARCINOMA","FCN2","expression",NA,"tissues",27177473,"FCN2 inhibits epithelial-mesenchymal transition-induced metastasis of hepatocellular carcinoma via TGF-β/Smad signaling.","FCN2 expression is downregulated in HCC cells and tissues. Low level of FCN2 in HCCs is correlated with aggressive metastatic features, and would be a prognostic factor for overall disease-free survival of HCC patients.","https://www.ncbi.nlm.nih.gov/pubmed/27177473","High_Unfavourable",NA,"NA","56956252","ENSG00000160339","EFO_0000182","FCN2 EXPRESSION NA","pass"
"191","NA","NA","HEPATOCELLULAR CARCINOMA","MBD2","expression",NA,"tissues",27315121,"MBD2 as a novel marker associated with poor survival of patients with hepatocellular carcinoma after hepatic resection.","MBD2 expression was elevated in HCC tissue, which suggesting MBD2 as a candidate prognostic marker of HCC.","https://www.ncbi.nlm.nih.gov/pubmed/27315121","High_Unfavourable",NA,"NA","56956252","ENSG00000134046","EFO_0000182","MBD2 EXPRESSION NA","pass"
"192","NA","NA","COMBINED HEPATOCELLUAR-CHOLANGIOCARCINOMA","DCP, AFP,CA-199","serum-level",NA,"Patients",32169133,"Diagnostic Value of Serum Biomarkers in Combined Hepatocelluar-Cholangiocarcinoma.","DCP, AFP and CA-199 have diagnostic value for cHCC-CC, and the combination of DCP, AFP and CA-199 is useful for assisting diagnosis before histological examination. 
The levels of DCP, AFP and CA-199 were clearly elevated in the cHCC-CC group relative to controls","https://www.ncbi.nlm.nih.gov/pubmed/32169133","High_Unfavourable,High_Unfavourable,High_Unfavourable",NA,"NA","56956252","ENSG00000159640, ENSG00000081051, NA","EFO_0000313","failed","failed term"
"193","SORAFENIB","Multikinase","HEPATOCELLULAR CARCINOMA","APEX1","RNA/protein expression",NA,"Patients",32167932,"APEX1 is a novel diagnostic and prognostic biomarker for hepatocellular carcinoma.","The APEX1 mRNA and protein levels were significantly higher in HCC than adjacent normal liver tissues.  High APEX1 expression correlated with resistance to sorafenib and anti-programmed death 1 (PD-1) therapies in HCC patients, and it associated with poorer overall survival, disease-specific survival, progression-free survival, and relapse-free survival in early- and advanced-stage HCC patients.","https://www.ncbi.nlm.nih.gov/pubmed/32167932","High_Unfavourable/High_Unfavourable",NA,"DB00398","406563","ENSG00000100823","EFO_0000182","APEX1 RNA/PROTEIN EXPRESSION NA","pass"
