"","...1","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.Phase..comparator.","Clinical.State.and.treatment.setting","Primary.End.Point","clinicaltrials.gov.reference","Raw.Text","annotator","STATUS","validator","URL","sheet","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"693",693,"METASTATIC BREAST CANCER","ERBB2","Positive","NA","Protein Expression&Amplification","TRASTUZUMAB EMTANSINE","UNK","I","Advanced, Second line","Area Under the Concentration-Time Curve [AUC] of Trastuzumab Emtansine, Total Trastuzumab, N2'-Deacetyl-N2'-(3-Mercapto-1-Oxopropyl)-Maytansine (DM1), Non-reducible Thioether Linkage (MCC)-DM1 and Lys-MCC-DM1, Maximum Serum Concentration (Cmax) Immediately After Dosing of Trastuzumab Emtansine, Total Trastuzumab, N2'-Deacetyl-N2'-(3-Mercapto-1-Oxopropyl)-Maytansine (DM1), Non-reducible Thioether Linkage (MCC)-DM1 and Lys-MCC-DM1, Minimum (Trough) Concentration (Cmin) of Trastuzumab Emtansine, Total Trastuzumab, N2'-Deacetyl-N2'-(3-Mercapto-1-Oxopropyl)-Maytansine (DM1), Non-reducible Thioether Linkage (MCC)-DM1 and Lys-MCC-DM1, Clearance (CL) of Trastuzumab Emtansine, Total Trastuzumab, N2'-Deacetyl-N2'-(3-Mercapto-1-Oxopropyl)-Maytansine (DM1), Non-reducible Thioether Linkage (MCC)-DM1 and Lys-MCC-DM1 , Volume of Distribution at Steady-State (Vss) of Trastuzumab Emtansine, Total Trastuzumab, N2'-Deacetyl-N2'-(3-Mercapto-1-Oxopropyl)-Maytansine (DM1), Non-reducible Thioether Linkage (MCC)-DM1 and Lys-MCC-DM1, Half-Life (t1/2) of Trastuzumab Emtansine, Total Trastuzumab, N2'-Deacetyl-N2'-(3-Mercapto-1-Oxopropyl)-Maytansine (DM1), Non-reducible Thioether Linkage (MCC)-DM1 and Lys-MCC-DM1","NCT03153163","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03153163",1,"DB05773","NA","ENSG00000141736","EFO_1000984","ERBB2 PROTEIN EXPRESSION&AMPLIFICATION POSITIVE","pass"
"694",694,"METASTATIC BREAST CANCER","ERBB2","Negative","NA","Protein Expression","RIBOCICLIB, CAPECITABINE","UNK, UNK","I","Advanced, First&Second line","Determination of the maximum tolerated dose (MTD) and the recommended dose for phase 2 (RP2D) of ribociclib and capecitabine combination","NCT02754011","Progressive patients who are eligible to a treatment with capecitabine: after failure to taxanes (neoadjuvant, adjuvant or metastatic setting) and failure to prior anthracycline-based chemotherapy (unless contraindicated)","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02754011",1,"DB11730,DB01101","44631912, 60953","ENSG00000141736","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"695",695,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","ATEZOLIZUMAB, ENTINOSTAT, FULVESTRANT, IPATASERTIB, BEVACIZUMAB, EXEMESTANE, TAMOXIFEN, ABEMACICLIB","PDL1, UNK, UNK, UNK, UNK, UNK, UNK, UNK","I/II","Advanced, Second line","Percentage of Participants with Objective Response during Stage 1 According to Response Evaluation Criteria in Solid Tumors (RECIST) Version (v) 1.1","NCT03280563","Says HR positive","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03280563",1,"DB11595,DB11841,DB00947,DB11743,DB00112,DB00990,DB00675,DB12001","NA, 4261, 104741, 24788740, NA, 60198, 2733526, 46220502","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"696",696,"METASTATIC BREAST CANCER","ERBB2, ESR1","Negative, Positive","AND","Protein Expression, Protein Expression","ESTETROL","UNK","I/II","Advanced, Second line","The number of patients with a dose limiting toxicity (DLT)","NCT02718144","postmenopausal","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02718144",1,"DB12235","27125","ENSG00000141736, ENSG00000091831","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"697",697,"UNRESECTABLE BREAST CANCER","ERBB2","Positive","NA","Protein Expression&Amplification","TRASTUZUMAB EMTANSINE","UNK","III","Advanced, Second line","Progression-free survival (PFS)","NCT03084939","has an active comparator","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03084939",1,"DB05773","NA","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION&AMPLIFICATION POSITIVE","pass"
"698",698,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","PALBOCICLIB, FULVESTRANT","UNK, UNK","II","Advanced, Second line","Progression free survival (PFS), as assessed locally by the investigator.","NCT03322215","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03322215",1,"DB09073,DB00947","11478676, 104741","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"699",699,"METASTATIC  BREAST CANCER","ERBB2, ESR1","Negative, Positive","AND","Protein Expression, Protein Expression","PU-H71, NAB-PACLITAXEL","UNK, UNK","I","Advanced, Second line","Maximum Tolerated Dose (MTD)","NCT03166085","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03166085",1,"DB12638,NA","9549213, 36314","ENSG00000141736, ENSG00000091831","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"700",700,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive/Negative, Positive/Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","PACLITAXEL","UNK","II/III","Advanced, First line","[Phase II] Objective Response Rate (ORR), [Phase III] Progression Free Survival (PFS)","NCT03315364","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03315364",1,"DB01229","36314","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
"701",701,"BREAST CANCER (STAGE II-III)","ERBB2, ESR1","Positive, Positive","AND","Protein Expression, Protein Expression","PALBOCICLIB, LETROZOLE, TRASTUZUMAB, GOSERELIN","UNK, UNK, UNK, UNK","II","Advanced&Non-advanced, First line","Pathologic complete response (pCR) rate ","NCT02907918","with surgery","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02907918",1,"DB09073,DB01006,DB00072,DB00014","11478676, 3902, 3001322, 5311128","ENSG00000141736, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"702",702,"LOBULAR","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","PACLITAXEL, EPIRUBICIN, CYCLOPHOSPHAMIDE, DURVALUMAB","UNK, UNK, UNK, UNK","I/II","First line","Adverse events, Pathological response","NCT03356860","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03356860",1,"DB01229,DB00445,DB00531,DB11714","36314, 65348, 2907, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0008509","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"703",703,"LOBULAR","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","PACLITAXEL, EPIRUBICIN, CYCLOPHOSPHAMIDE, DURVALUMAB","UNK, UNK, UNK, UNK","I/II","First line","Adverse events, Pathological response","NCT03356860","comparing with standard therapy","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03356860",1,"DB01229,DB00445,DB00531,DB11714","36314, 65348, 2907, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0008509","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"704",704,"METASTATIC BREAST CANCER","ESR1, PGR","Positive, Positive","AND/OR","Protein Expression, Protein Expression","ABRAXANE","UNK","II","Advanced, Second line","Progression Free Survival (PFS)","NCT02687490","needs to be visceral dominant metastases. From Criteria: Patients who are expected to acquire benefit from chemotherapy: ER and/or PR positive patients who developed resistance after prior endocrine therapy; HER2+ patients who experienced disease progression on prior target therapy and are not suitable for subsequent target therapy; mTNBC patients who relapsed after platinum therapy;","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02687490",1,"NA","36314","ENSG00000091831, ENSG00000082175","EFO_1000984","ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"705",705,"METASTATIC BREAST CANCER","ERBB2","Positive","NA","Protein Expression","ABRAXANE","UNK","II","Advanced, Second line","Progression Free Survival (PFS)","NCT02687490","needs to be visceral dominant metastases. From Criteria: Patients who are expected to acquire benefit from chemotherapy: ER and/or PR positive patients who developed resistance after prior endocrine therapy; HER2+ patients who experienced disease progression on prior target therapy and are not suitable for subsequent target therapy; mTNBC patients who relapsed after platinum therapy;","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02687490",1,"NA","36314","ENSG00000141736","EFO_1000984","ERBB2 PROTEIN EXPRESSION POSITIVE","pass"
"706",706,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","ABRAXANE","UNK","II","Advanced, Second line","Progression Free Survival (PFS)","NCT02687490","needs to be visceral dominant metastases. From Criteria: Patients who are expected to acquire benefit from chemotherapy: ER and/or PR positive patients who developed resistance after prior endocrine therapy; HER2+ patients who experienced disease progression on prior target therapy and are not suitable for subsequent target therapy; mTNBC patients who relapsed after platinum therapy;","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02687490",1,"NA","36314","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"707",707,"METASTATIC BREAST CANCER","ERBB2","Positive","NA","Protein Expression","SYD985","UNK","III","Advanced, Second line","Progression Free Survival","NCT03262935","Patients should have had either progression during or after at least two HER2-targeting treatment regimens for locally advanced or metastatic disease or progression during or after (ado-)trastuzumab emtansine treatment for locally advanced or metastatic disease;","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03262935",1,"NA","NA","ENSG00000141736","EFO_1000984","ERBB2 PROTEIN EXPRESSION POSITIVE","failed drug"
"708",708,"METASTATIC BREAST CANCER","ESR1, PGR","Positive, Positive","AND","Protein Expression, Protein Expression","CDK 4/6 INHIBITOR, NON-STEROIDAL AROMATASE INHIBITOR, FULVESTRANT","CDK4/CDK6, aromatase, UNK","III","Advanced, First line","Progression-free survival after two lines of treatment (PFS2)","NCT03425838","CDK4/6 Inhibitors: palbociclib,Ibrance,ribociclib,Kisqali,abemaciclib,Verzenio. Aromatase inhibitors: NSAI, letrozole, Femara®, anastrozole, Arimidex®","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03425838",1,"NA,NA,DB00947","NA, NA, 104741","ENSG00000091831, ENSG00000082175","EFO_1000984","ESR1 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION POSITIVE","failed drug"
"709",709,"INVASIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","HYDROXYCHLOROQUINE, EVEROLIMUS","UNK, UNK","II","Second line","Number of Adverse Events ","NCT03032406","pt couldn’t have received Prior treatment with an mTOR inhibitor, Evidence of residual disease in the breast on pathological assessment after neoadjuvant chemotherapy.","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03032406",1,"DB01611,DB01590","12947, 6442177","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000307","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"710",710,"INVASIVE BREAST CANCER","ERBB2, ESR1","Negative, Positive","AND","Protein Expression, Protein Expression","HYDROXYCHLOROQUINE, EVEROLIMUS","UNK, UNK","II","Second line","Number of Adverse Events ","NCT03032406","pt couldn’t have received Prior treatment with an mTOR inhibitor, Evidence of residual disease in the breast on pathological assessment after neoadjuvant chemotherapy.","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03032406",1,"DB01611,DB01590","12947, 6442177","ENSG00000141736, ENSG00000091831","EFO_1000307","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"711",711,"BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","XENTUZUMAB, ABEMACICLIB, LETROZOLE, ANASTROZOLE, FULVESTRANT","UNK, UNK, UNK, UNK, UNK","I","Advanced&Non-advanced, First&Second line","Maximum Tolerated Dose (MTD), Number of patients with dose limiting toxicities (DLT) in the Maximum Tolerated Dose (MTD) evaluation period , Progression-free survival (PFS) rate, objective response (OR), defined as best overall response of complete response (CR) or partial response (PR), where best overall response is determined according to Response Evaluation Criteria In Solid Tumours (RECIST) version 1.1.","NCT03099174","Had multiple cohorts, 3 for BC, which had different drug combos. Cohort F only: Postmenopausal with locally advanced or metastatic HR+ breast cancer and refractory to aromatase inhibitors therapy and CDK4/6 inhibitor treatment (e.g.,palbociclib or ribociclib) for locally advanced or metastatic breast cancer.","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03099174",1,"DB14871,DB12001,DB01006,DB01217,DB00947","NA, 46220502, 3902, 2187, 104741","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"712",712,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR, AR","Negative, Negative, Negative, Negative","AND, AND, AND","Protein Expression, Protein Expression, Protein Expression, Protein Expression","TAK-228, TAK-117, CISPLATIN, NAB PACLITAXEL","Homologous Recombination, Homologous Recombination, UNK, UNK","II","Advanced, Second line","Efficacy (objective response rate)","NCT03193853","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03193853",1,"NA,NA,DB00515,NA","45375953, 70798655, 135804801, 36314","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000169083","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND AR PROTEIN EXPRESSION NEGATIVE","pass"
"713",713,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR, CA6","Negative, Negative, Negative, Positive","AND, AND, AND","Protein Expression, Protein Expression, Protein Expression, Protein Expression","566658","UNK","II","Advanced, Second line","Objective response rate (ORR)","NCT02984683","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02984683",1,"NA","NA","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000131686","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND CA6 PROTEIN EXPRESSION POSITIVE","failed drug"
"714",714,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","ENTINOSTAT, EXEMESTANE","UNK, UNK","II","Advanced, Second line","Progression Free Survival(PFS) defined by Response Evaluation Criteria in Solid Tumors (RECIST) version 1.1 (v1.1)","NCT03291886","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03291886",1,"DB11841,DB00990","4261, 60198","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"715",715,"INVASIVE BREAST CANCER","ERBB2, ESR1, PGR, PDL1","Negative, Negative, Negative, Positive/Negative","AND, AND, AND","Protein Expression, Protein Expression, Protein Expression, Protein Expression","ATEZOLIZUMAB","UNK","III","First line","Pathologic complete response in the breast and lymph nodes (ypT0/Tis ypN0), Event-free survival (EFS)","NCT03281954","given with neoadjuvant chemotherapy","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03281954",1,"DB11595","NA","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000120217","EFO_1000307","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND PDL1 PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
"716",716,"METASTATIC BREAST CANCER","ESR1","Positive","NA","Protein Expression","TTC-352","ER","I","Advanced, Second line","MTD","NCT03201913","have a diagnosis of metastatic ER+ breast cancer in patients who received and progressed on at least two lines of endocrine therapy, with one that included a CDK4/CDK6 inhibitor (e.g., palbociclib or ribociclib);","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03201913",1,"NA","NA","ENSG00000091831","EFO_1000984","ESR1 PROTEIN EXPRESSION POSITIVE","failed drug"
"717",717,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","CARBOPLATIN, PEMBROLIZUMAB, NAB-PACLITAXEL","UNK, UNK, UNK","II","Advanced, First&Second line","Determine overall response rate (ORR) in patients treated with CNP","NCT03121352","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03121352",1,"DB00958,DB09037,NA","56840877, NA, 36314","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"718",718,"EARLY TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR, PDL1","Negative, Negative, Negative, Positive/Negative","AND, AND, AND","Protein Expression, Protein Expression, Protein Expression, Protein Expression","ATEZOLIZUMAB, NAB-PACLITAXEL, DOXORUBICIN, CYCLOPHOSPHAMIDE, FILGRASTIM, PEGFILGRASTIM","PDL1, UNK, UNK, UNK, UNK, UNK","III","First line","Percentage of Participants with Pathologic Complete Response (pCR) Using American Joint Committee on Cancer (AJCC) Staging System, Percentage of Participants with pCR in Subpopulation with PD-L1-Positive Tumor Status (tumor-infiltrating immune cell [IC] 1/2/3) Using AJCC Staging System","NCT03197935","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03197935",1,"DB11595,NA,DB00997,DB00531,DB00099,DB00019","NA, 36314, 443939, 2907, NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000120217","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND PDL1 PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
"719",719,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","ATEZOLIZUMAB, PACLITAXEL","PDL1, UNK","III","Advanced, First line","Progression-Free Survival (PFS) Assessed Using Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST v1.1) in the Subpopulation with Programmed Death-Ligand 1 (PD-L1)-Positive Tumour Status, Progression-Free Survival (PFS) Assessed Using Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST v1.1) in the Intent-to-Treat (ITT) Population","NCT03125902","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03125902",1,"DB11595,DB01229","NA, 36314","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"720",720,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","VINORELBINE, APATINIB","UNK, UNK","II","Advanced, Second line","Progression Free Survival","NCT03254654","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03254654",1,"DB00361,DB14765","5311497, 45139106","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"721",721,"METASTATIC  BREAST CANCER","ESR1, PGR","Positive, Positive","AND/OR","Protein Expression, Protein Expression","FLUVESTRANT, VINORELBINE","UNK, UNK","II","Advanced, First&Second line","Progression-free survival (PFS)","NCT03939871","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03939871",1,"NA,DB00361","104741, 5311497","ENSG00000091831, ENSG00000082175","EFO_1000984","ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"722",722,"METASTATIC BREAST CANCER","absent","NA","NA","NA","SPARC1613","UNK","I","Advanced, First&Second line","Maximum observed concentration (Cmax) ","NCT03109249","only requirement is that chemo is 30 days out","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03109249",1,"NA","NA","ENSG00000104313","EFO_1000984","ABSENT NA NA","failed drug,no biomarker"
"723",723,"LOCALLY ADVANCED TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","PEMBROLIZUMAB, CARBOPLATIN, PACLITAXEL, DOXORUBICIN, EPIRUBICIN, CYCLOPHOSPHAMIDE, FILGRASTIM/PEGFILGASTRIM","UNK, UNK, UNK, UNK, UNK, UNK, UNK, UNK/UNK","III","Advanced, First&Second line","Pathological complete response (pCR) rate using the definition of ypT0/Tis ypN0, Event-free Survival (EFS) as assessed by Investigator","NCT03036488","only requirement is no chemo within 30 days","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03036488",1,"DB09037,DB00958,DB01229,DB00997,DB00445,DB00531,NA","NA, 56840877, 36314, 443939, 65348, 2907, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"724",724,"LOCALLY ADVANCED","ERBB2, ESR1, PGR","Positive, Positive/Negative, Positive/Negative","AND, AND","Protein Expression/Protein Expression&Amplification, Protein Expression, Protein Expression","ATEZOLIZUMAB, PACLITAXEL, TRASTUZUMAB, PERTUZUMAB","UNK, UNK, UNK, UNK","II","Advanced, First&Second line","Number of participants with treatment-related adverse events, Antitumor activity of atezolizumab plus the standard regimen of paclitaxel, trastuzumab, and pertuzumab","NCT03125928","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03125928",1,"DB11595,DB01229,DB00072,DB06366","NA, 36314, 3001322, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0005856","ERBB2 PROTEIN EXPRESSION/PROTEIN EXPRESSION&AMPLIFICATION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
"725",725,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","G1T38, FULVESTRANT","UNK, UNK","I/II","Advanced, First&Second line","Dose Limiting Toxicity, Recommended Phase 2 dose, Recommended Phase 2 dose interval, Number of Treatment Related Adverse Event, including Abnormal Laboratory Events","NCT02983071","Pre- or perimenopausal women can be enrolled if amenable to be treated with goserelin","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02983071",1,"NA,DB00947","86269224, 104741","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"726",726,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","RAD140","UNK","I","Advanced, First&Second line","Incidence rate of dose-limiting toxicities (DLTs) RAD140 treatment, Number of adverse events related to study treatment, Number participants with dose interruptions and dose adjustments","NCT03088527","postmenopausal, only requires last chemo was tkane 28 days prior","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03088527",1,"NA","44200882","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"727",727,"INVASIVE BREAST CANCER","ERBB2, ESR1","Negative, Positive","AND","Protein Expression, Protein Expression","AZD9496","UNK","I","First line","Pharmacodynamics changes to estrogen receptor (ER) expression following treatment with AZD9496 or fulvestrant","NCT03236974","Patients with newly diagnosed resectable primary breast cancer scheduled to undergo treatment with curative intent by surgery. Must be postmenopasual","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03236974",1,"NA","86287635","ENSG00000141736, ENSG00000091831","EFO_1000307","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"728",728,"METASTATIC  BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive/Negative, Positive/Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","PEMBROLIZUMAB, PACLITAXEL","UNK, UNK","II","Advanced, First&Second line","Grade 3 or 4 treatment-related adverse event","NCT03018080","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03018080",1,"DB09037,DB01229","NA, 36314","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND PGR PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
"729",729,"METASTATIC  BREAST CANCER","ERBB2","Positive","NA","Protein Expression","PYROTINIB, CAPECITABINE","UNK, UNK","III","Advanced, Second line","Progression Free Survival(PFS)","NCT03080805","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03080805",1,"DB14993,DB01101","51039030, 60953","ENSG00000141736","EFO_1000984","ERBB2 PROTEIN EXPRESSION POSITIVE","pass"
